"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"51500","Слънчев бряг склад - гр. Несебър, к.к. Слънчев бряг, Околовръстен път, местност Инджекьойско блато, складова база Консуматив","МОКРИ КЪРПИ С КАПАК х72 (разфасовка: 1 пакет, р-р: 5х12х20)","315500","84","0.78",""
"51500","Слънчев бряг склад - гр. Несебър, к.к. Слънчев бряг, Околовръстен път, местност Инджекьойско блато, складова база Консуматив","МОКРИ КЪРПИ С КАПАК БЕБЕЛАН х64 (разфасовка: 1 броя, р-р: 20х10х7)","315505","84","1.80",""
"51500","Слънчев бряг склад - гр. Несебър, к.к. Слънчев бряг, Околовръстен път, местност Инджекьойско блато, складова база Консуматив","ЕХО ВЕРО БАЛСАМ 400мл (разфасовка: 1 броя, р-р: 3х8х20)","511200","79","1.44",""
"51500","Слънчев бряг склад - гр. Несебър, к.к. Слънчев бряг, Околовръстен път, местност Инджекьойско блато, складова база Консуматив","ФЕЙРИ ВЕРО 400мл (разфасовка: 1 броя, р-р: 4х8х21)","511210","79","2.04",""
"51500","Слънчев бряг склад - гр. Несебър, к.к. Слънчев бряг, Околовръстен път, местност Инджекьойско блато, складова база Консуматив","ТЕО САПУН 70гр (разфасовка: 1 броя, р-р: 8х5х2)","581200","83","0.48",""
"51500","Слънчев бряг склад - гр. Несебър, к.к. Слънчев бряг, Околовръстен път, местност Инджекьойско блато, складова база Консуматив","ДАВ САПУН 90гр (разфасовка: 1 броя, р-р: 3х6х8)","581220","83","1.14",""
"51500","Слънчев бряг склад - гр. Несебър, к.к. Слънчев бряг, Околовръстен път, местност Инджекьойско блато, складова база Консуматив","ЖИВАСЕПТ АНТИБАКТ ГЕЛ 500мл (разфасовка: 1 броя, р-р: 5х14х20)","582300","92","4.38",""
"68134","София склад - гр. София, бул. Цариградско шосе 7-ми километър, №141","МОКРИ КЪРПИ С КАПАК х72 (разфасовка: 1 пакет, р-р: 5х12х20)","315500","84","0.78",""
"68134","София склад - гр. София, бул. Цариградско шосе 7-ми километър, №141","МОКРИ КЪРПИ С КАПАК БЕБЕЛАН х64 (разфасовка: 1 броя, р-р: 20х10х7)","315505","84","1.80",""
"68134","София склад - гр. София, бул. Цариградско шосе 7-ми километър, №141","ЕХО ВЕРО БАЛСАМ 400мл (разфасовка: 1 броя, р-р: 3х8х20)","511200","79","1.44",""
